days,events
4 de enero,Día mundial del Braille
24 de enero,Día internacional de la educación
27 de enero,Día internacional de conmemoración anual en memoria de las víctimas del Holocausto
4 de febrero,Día mundial contra el Cáncer
6 de febrero,Día internacional de tolerancia cero con la mutilación genital femenina
10 de febrero,Día mundial de las legumbres
11 de febrero,Día internacional de la mujer y la niña en la ciencia
13 de febrero,Día mundial de la radio
20 de febrero,Día mundial de la justicia social
21 de febrero,Día internacional de la lengua materna
1 de marzo,Día contra la Discriminación
3 de marzo,Día mundial de la vida silvestre
8 de marzo,Día internacional de la mujer
20 de marzo,Día de la lengua francesa
20 de marzo,Día internacional de la felicidad
21 de marzo,Día internacional de la eliminación de la discriminación racial
21 de marzo,Día mundial de la poesía
21 de marzo,Día internacional del Nowruz
21 de marzo,Día mundial del Síndrome de Down
21 de marzo,Día internacional de los bosques
22 de marzo,Día mundial del agua
23 de marzo,Día meteorológico mundial
24 de marzo,Día internacional del derecho a la verdad en relación con violaciones graves de los derechos humanos y de la dignidad de las víctimas
24 de marzo,Día Mundial de la Tuberculosis
25 de marzo,Día internacional de solidaridad con los miembros del personal detenidos o desaparecidos
25 de marzo,Día internacional de recuerdo de las víctimas de la esclavitud y la trata transatlántica de esclavos
2 de abril,Día mundial de concienciación sobre el Autismo
4 de abril,Día internacional de información sobre el peligro de las minas y de asistencia para las actividades relativas a las minas
6 de abril,Día internacional del deporte para el desarrollo y la paz
7 de abril,Día mundial de la salud
7 de abril,Día internacional de reflexión sobre el genocidio cometido en Rwanda
12 de abril,Día internacional de los vuelos espaciales tripulados
19 de abril,Día de la lengua China
21 de abril,Día de la creatividad e innovación
22 de abril,Día internacional de la Madre Tierra
23 de abril,Día mundial del libro y del derecho de autor
23 de abril,Día de la lengua inglesa
23 de abril,Día de la lengua española
24 de abril,Día internacional del multilateralismo y la diplomacia  para la paz
25 de abril,Día mundial del paludismo
26 de abril,Dia internacional de las niñas en las TIC
28 de abril,Día mundial de la propiedad intelectual
30 de abril,Día mundial de la seguridad y salud en el trabajo
3 de mayo,Día Internacional del Jazz
8-9 de mayo,Día mundial de la libertad de prensa
11 de mayo,"Días del recuerdo y la reconciliación, conmemoración de la Segunda Guerra Mundial"
9 al 20 de mayo,Día mundial de las aves migratorias
15 de mayo,Foro permanente para las cuestiones Indígenas de la ONU
16 de mayo,Día internacional de las familias
17 de mayo,Dia mundial de la luz
20 de mayo,Día mundial de las telecomunicaciones y la sociedad de la información
21 de mayo,Día de Vesak
22 de mayo,Día mundial de las abejas
23 de mayo,Día mundial de la diversidad cultural para el diálogo y el desarrollo
29 de mayo,Día internacional de la diversidad biológica
31 de mayo,Día internacional para la erradicación de la Fístula Obstétrica
1 de junio,Día internacional del personal de paz de las Naciones Unidas
7 de junio,Día mundial sin tabaco
3 de junio,Día mundial de las madres y los padres
4 de junio,Día mundial de la inocuidad de los alimentos
5 de junio,Dia mundial de la bicicleta
6 de junio,Día internacional de los niños víctimas inocentes de agresión
8 de junio,Día mundial del medio ambiente
12 de junio,"Día internacional de la lucha contra la pesca ilegal,  no declarada y no reglamentada"
13 de junio,Día de la lengua rusa
14 de junio,Día mundial de los océanos
15 de junio,Día mundial contra el trabajo infantil
16 de junio,Día internacional de sensibilización sobre el Albinismo
17 de junio,Día mundial del donante de sangre
18 de junio,Día mundial de toma de conciencia de abuso y maltrato en la vejez
19 de junio,Día internacional de las remesas familiares
20 de junio,Día mundial de lucha contra la desertificación
21 de junio,Día de la gastronomía sostenible
23 de junio,Día internacional para la eliminación de la violencia sexual en los conflictos
25 de junio,Día mundial de los refugiados
26 de junio,Día internacional del yoga
27 de junio,Día de las Naciones Unidas para la administración pública
29 de junio,Día internacional de las viudas
30 de junio,Día de la gente de mar
6 de julio,Día internacional de la lucha contra el uso indebido y el tráfico ilícito de drogas
11 de julio,Día de las microempresas y las pequeñas  y medianas empresas
15 de julio,Día internacional de los trópicos
18 de julio,Día internacional de los asteroides
28 de julio,Día internacional del parlamentarismo
30 de julio,Día internacional de las cooperativas
9 de agosto,Día mundial de la población
12 de agosto,Día mundial de las habilidades de la juventud
19 de agosto,Día Internacional de Nelson Mandela
21 de agosto,Día mundial contra la Hepatitis
23 de agosto,Día internacional de la amistad
29 de agosto,Día mundial contra la trata
30 de agosto,Día internacional de los pueblos indígenas
5 de septiembre,Día internacional de la juventud
8 de septiembre,Día mundial de la asistencia humanitaria
15 de septiembre,Día internacional de conmemoración y homenaje a las víctimas del terrorismo
16 de septiembre,Día internacional del recuerdo de la trata de esclavos y de su abolición
21 de septiembre,Día internacional contra los ensayos nucleares
23 de septiembre,Día internacional de las víctimas de desapariciones forzadas
26 de septiembre,Día internacional de la beneficencia
27 de septiembre,Día internacional de la alfabetización
28 de septiembre,Dia internacional de la democracia
30 de septiembre,Día internacional de la preservación de la capa de ozono
1 de octubre,Día internacional de la paz
2 de octubre,Día internacional de las lenguas de señas
5 de octubre,Día marítimo mundial
9 de octubre,Día internacional para la eliminación total de las armas nucleares
10 de octubre,Día mundial del turismo
11 de octubre,Día Mundial contra la Rabia
13 de octubre,Día internacional del derecho de acceso universal a la información
15 de octubre,Día internacional de la traducción
16 de octubre,Día internacional de las personas de edad
17 de octubre,Día mundial del hábitat
20 de octubre,Día internacional de la no violencia
24 de octubre,Día mundial de los docentes
27 de octubre,Día mundial del correo
31 de octubre,Día mundial de la salud mental
2 de noviembre,Día internacional de la niña
5 de noviembre,Día internacional para la reducción de los desastres
6 de noviembre,Día internacional de las mujeres rurales
10 de noviembre,Día mundial de la alimentación
14 de noviembre,Día internacional para la erradicación de la pobreza
16 de noviembre,Día mundial de la estadística
17 de noviembre (tercer domingo de noviembre),Día de las Naciones Unidas
19 de noviembre,Día mundial de información sobre el desarrollo
20 de noviembre,Día mundial del patrimonio audiovisual
21 de noviembre,Día mundial de las ciudades
21 de noviembre (tercer jueves de noviembre),Día internacional para poner fin a la impunidad de los crímenes contra periodistas
25 de noviembre,Día mundial de concienciación sobre los sunamis
29 de noviembre,Día internacional para la prevención de la explotación del medio ambiente en la guerra y los conflictos armados
30 de noviembre,Día mundial de la ciencia para la paz y el desarrollo
1 de diciembre,Día mundial de la diabetes
2 de diciembre,Día internacional para la tolerancia
3 de diciembre,Día mundial en recuerdo de las víctimas de los accidentes de tráfico
5 de diciembre,Día mundial del retrete
7 de diciembre,Día de la industralización de Africa
9 de diciembre,Día universal del niño
10 de diciembre,Día mundial de la televisión
11 de diciembre,Día mundial de la filosofía
12 de diciembre,Día internacional de la eliminación de la violencia contra la mujer
18 de diciembre,Día internacional de solidaridad con el pueblo Palestino
20 de diciembre,Día de conmemoración de todas las víctimas de la guerra química
